Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Source,EID
"Islam M.A., Meister A., Schubert V., Kloppstech K., Esch E.",57214493992;7101954277;55903827900;7004541971;12646864400;,Genetic diversity and cytogenetic analyses in Curcuma zedoaria (Christm.) Roscoe from Bangladesh,2007,Genetic Resources and Crop Evolution,54,1,,149,156,,20,10.1007/s10722-005-2639-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846323678&doi=10.1007%2fs10722-005-2639-0&partnerID=40&md5=bae038f35feca3aa64295ce0fffec9f6,Chromosome number; Curcuma zedoaria; Flow cytometry; Genetic diversity; RAPD,Article,Final,Scopus,2-s2.0-33846323678
"Subhadhirasakul S., Wongvarodom S., Ovatlarnporn C.",6602506571;23493894600;14058523500;,The content of active constituents of stored sliced and powdered preparations of turmeric rhizomes and zedoary (bulb and finger) rhizomes,2007,Songklanakarin Journal of Science and Technology,29,6,,1527,1536,,5,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049088747&partnerID=40&md5=e23c7759c65e559f3bc32bac52dc4bf6,"Curcuminoids; Storage conditions; Turmeric; Volatile oil, stability; Zedoary",Article,Final,Scopus,2-s2.0-39049088747
"Stanly C., Keng C.L.",23092356800;28267799100;,Micropropagation of curcuma zedoaria roscoe and Zingiber zerumbet Smith,2007,Biotechnology,6,4,,555,560,,25,10.3923/biotech.2007.555.560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-37249066663&doi=10.3923%2fbiotech.2007.555.560&partnerID=40&md5=2f4cf9c2a791ee3fa8ee70583c84e2b6,3-indole butyric acid (IBA); Aseptic explants; Benzyladenine (BA); Multiple shoots; Zingiberaceae,Review,Final,Scopus,2-s2.0-37249066663
"Bugno A., Nicoletti M.A., Almodóvar A.A.B., Pereira T.C., Auricchio M.T.",6506239843;22951322100;23003492800;55828149540;17134237200;,Antimicrobial efficacy of Curcuma zedoaria extract as assessed by linear regression compared with commercial mouthrinses,2007,Brazilian Journal of Microbiology,38,3,,440,445,,32,10.1590/S1517-83822007000300011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36248951171&doi=10.1590%2fS1517-83822007000300011&partnerID=40&md5=d7645fc48af6510fc60bd976bfc87ddf,Antimicrobial activity; Curcuma zedoaria; Logarithmic reduction; Mouthrinse,Article,Final,Scopus,2-s2.0-36248951171
"Leng W., Zheng Y., Li S.-P., Yang F.-Q., Wang Y.-T.",35082158900;7404838014;48761442900;8680906300;8327361900;,Study on absorption mechanisms of Zedoary Turmeric oil by Caco-2 cell model,2007,Chinese Pharmaceutical Journal,42,16,,1228,1232,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34848910398&partnerID=40&md5=22f1fd4baf2d0887333422bb2cf05fe9,Absorption mechanism; Caco-2 cell absorption model; Passive diffusion; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-34848910398
"Yang K.-L., Chen D.-W., Wang S.-D., Yao C.-S., Li X.-K., Hu H.-Y., Zhao X.-L., Qiu D.-A., Jiang Y.-N.",55478591300;14067165600;57191714697;7201495933;8401769600;11738793600;12791286700;15829871800;57221050570;,Preparation and evaluation of zedoary turmeric oil nanostructuded lipid carriers delivery systems,2006,Chinese Pharmaceutical Journal,41,24,,1881,1884,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846415417&partnerID=40&md5=90e547bb3455717cf9545dcfebf347dc,Hot dispersion-cool solidification method; Nanostructured lipid carriers; Pharmacodynamics; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-33846415417
"Makabe H., Maru N., Kuwabara A., Kamo T., Hirota M.",7004472057;14013589900;14013809500;7005296679;7201993575;,Anti-inflammatory sesquiterpenes from Curcuma zedoaria,2006,Natural Product Research,20,7,,680,685,,136,10.1080/14786410500462900,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745096871&doi=10.1080%2f14786410500462900&partnerID=40&md5=c4356dedf7bc6afd12212a19d2a9cfaa,12-O-tetradecanoylphorbol-13-acetate (TPA)-induced edema; Anti-inflammatory; Curcuma zadoaria,Article,Final,Scopus,2-s2.0-33745096871
"You J., Cui F.-d., Wang Y.-s., Yu Y.-w., Li X., Li Q.-p.",57198540793;12770952600;55734044800;7406252026;57202295597;26661117900;,The study of the emulsification efficiency of Aerosil and HPMCAS type and their ratio to stabilize emulsions of zedoary turmeric oil,2006,Colloids and Surfaces A: Physicochemical and Engineering Aspects,280,1-3,,76,80,,4,10.1016/j.colsurfa.2006.01.034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646185639&doi=10.1016%2fj.colsurfa.2006.01.034&partnerID=40&md5=9ae9be5e014314840f1658b4f33ed981,Aerosil/HPMCAS ratio; Droplet size; Emulsion; Stability; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-33646185639
"You J., Cui F.-D., Han X., Wang Y.-S., Yang L., Yu Y.-W., Li Q.-P.",57198540793;12770952600;55450970300;55734044800;56941086700;7406252026;26661117900;,Study of the preparation of sustained-release microspheres containing zedoary turmeric oil by the emulsion-solvent-diffusion method and evaluation of the self-emulsification and bioavailability of the oil,2006,Colloids and Surfaces B: Biointerfaces,48,1,,35,41,,58,10.1016/j.colsurfb.2005.12.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644626617&doi=10.1016%2fj.colsurfb.2005.12.011&partnerID=40&md5=126bbf233d6fbbbb7da7eecb67c2488f,Bioavailability; Germacrone; Microspheres; Self-emulsifying capability; Sustained-release; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-33644626617
"Purkayastha J., Nath S.C., Klinkby N.",6506911056;7102759650;6506897524;,Essential oil of the rhizome of curcuma zedoaria (christm.) rose. native to northeast India,2006,Journal of Essential Oil Research,18,2,,154,155,,27,10.1080/10412905.2006.9699050,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645752729&doi=10.1080%2f10412905.2006.9699050&partnerID=40&md5=b710d8f2cd87f5bcb88fec1d7294a2a8,"1,8-cineole; Curcuma zedoaria; Curzerenone; Essential oil composition; Zingiberaceae",Article,Final,Scopus,2-s2.0-33645752729
"Pamplona C.R., De Souza M.M., Machado M.D.S., Cechinel Filho V., Navarro D., Yunes R.A., Delle Monache F., Niero R.",12786316300;7202375931;12786560500;7005563683;8243790700;7006196527;7005560055;6701841429;,Seasonal variation and analgesic properties of different parts from Curcuma zedoaria roscoe (Zingiberaceae) grown in Brazil,2006,Zeitschrift fur Naturforschung - Section C Journal of Biosciences,61,1-2,,6,10,,27,10.1515/znc-2006-1-202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645086871&doi=10.1515%2fznc-2006-1-202&partnerID=40&md5=c62320955110e16ecd42cfcc7cfd4e5f,Curcuma zedoaria; Curcumenol; Dihydrocurdione,Article,Final,Scopus,2-s2.0-33645086871
"Islam M.A., Kloppstech K., Esch E.",57214493992;7004541971;12646864400;,Population genetic diversity of Curcuma zedoaria (Christm.) Roscoe - A conservation prioritised medicinal plant in Bangladesh,2005,Conservation Genetics,6,6,,1027,1033,,12,10.1007/s10592-005-9080-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33344474816&doi=10.1007%2fs10592-005-9080-y&partnerID=40&md5=2d0ada52425ca902aa62c54dcac17ee7,Curcuma zedoaria; Ecological distribution; Genetic diversity; RAPD,Article,Final,Scopus,2-s2.0-33344474816
"Jiang Y., Li Z.-S., Jiang F.-S., Deng X., Yao C.-S., Nie G.",35173240500;56075444200;11440249500;56324121800;36909940500;57212485338;,Effects of different ingredients of zedoary on gene expression of HSC-T6 cells,2005,World Journal of Gastroenterology,11,43,,6780,6786,,40,10.3748/wjg.v11.i43.6780,https://www.scopus.com/inward/record.uri?eid=2-s2.0-30744432874&doi=10.3748%2fwjg.v11.i43.6780&partnerID=40&md5=6d55309191e06e0532885072053fe108,Curcuma aromatica oil; Curcumol; DNA microarray; Hepatic fibrosis; Hepatic stellate cells,Article,Final,Scopus,2-s2.0-30744432874
"Seo W.-G., Hwang J.-C., Kang S.-K., Jin U.-H., Suh S.-J., Moon S.-K., Kim C.-H.",8728370400;55242899900;56119847300;6602489297;15758503000;7401616572;7409877266;,Suppressive effect of Zedoariae rhizoma on pulmonary metastasis of B16 melanoma cells,2005,Journal of Ethnopharmacology,101,1-3,,249,257,,27,10.1016/j.jep.2005.04.037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-24644463862&doi=10.1016%2fj.jep.2005.04.037&partnerID=40&md5=aadecca81e0db6fca063cf05034715d1,Antiproliferative property; Curcuma zedoaria ROSCOE; Herbal medicine; Macrophage; Metastasis; Nitric oxide; Zedoariae rhizoma; Zingiberaceae,Article,Final,Scopus,2-s2.0-24644463862
"You J., Cui F.-D., Li Q.-P., Yong-Sheng W., Han X., Yu Y.-W.",57198540793;12770952600;26661117900;8696003100;55450970300;7406252026;,A HPLC method for the analysis of germacrone in rabbit plasma and its application to a pharmacokinetic study of germacrone after administration of zedoary turmeric oil,2005,Journal of Chromatography B: Analytical Technologies in the Biomedical and Life Sciences,823,2,,172,176,,9,10.1016/j.jchromb.2005.06.032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23644447366&doi=10.1016%2fj.jchromb.2005.06.032&partnerID=40&md5=136d48f20d63348b9d9307dd7e71803b,Germacrone; HPLC; Pharmacokinetic; Protein precipitation; Solvent extraction; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-23644447366
"Kim D.-I., Lee T.-K., Jang T.-H., Kim C.-H.",56109753700;8075353500;34770434800;7409877266;,"The inhibitory effect of a Korean herbal medicine, Zedoariae rhizoma, on growth of cultured human hepatic myofibroblast cells",2005,Life Sciences,77,8,,890,906,,13,10.1016/j.lfs.2005.01.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444500984&doi=10.1016%2fj.lfs.2005.01.016&partnerID=40&md5=1db7e44d1685fea6c1d2342f3d69a1c0,Antifibrotic agents; Antiproliferative effect; Cellular proliferation; COX-2; Growth inhibition; Human hepatic myofibroblasts (hMF); Liver fibrogenesis; Prostaglandin E2; Zedoariae rhizome,Article,Final,Scopus,2-s2.0-20444500984
"Wilson B., Abraham G., Manju V.S., Mathew M., Vimala B., Sundaresan S., Nambisan B.",35331453800;57206161719;57270274900;25230264900;6507132787;7102152353;6601921431;,Antimicrobial activity of Curcuma zedoaria and Curcuma malabarica tubers,2005,Journal of Ethnopharmacology,99,1,,147,151,,124,10.1016/j.jep.2005.02.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-17644380615&doi=10.1016%2fj.jep.2005.02.004&partnerID=40&md5=8733567bccd32980bd1ef29ccea18bf8,Antibacterial and antifungal activity; Curcuma malabarica; Curcuma zedoaria,Article,Final,Scopus,2-s2.0-17644380615
"Kasahara K., Nomura S., Subeki, Matsuura H., Yamasaki M., Yamato O., Maede Y., Katakura K., Suzuki M., Trimurningsih, Chairul, Yoshihara T.",57205987566;8567796400;23395342800;7401432507;7201605731;56230744900;7005968127;7005902529;7406961669;8915044000;24297903100;7201883907;,Anti-babesial compounds from Curcuma zedoaria,2005,Planta Medica,71,5,,482,484,,23,10.1055/s-2005-871216,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20544439368&doi=10.1055%2fs-2005-871216&partnerID=40&md5=7859a47f1d523c294c0291d80a7d3d5d,,Article,Final,Scopus,2-s2.0-20544439368
"Nguyen H.L., Doan T.D., Tae H.K., Moon S.Y.",6602129044;8306567000;8306567100;7404927214;,Micropropagation of zedoary (Curcuma zedoaria Roscoe) - A valuable medicinal plant,2005,"Plant Cell, Tissue and Organ Culture",81,1,,119,122,,57,10.1007/s11240-004-3308-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644427242&doi=10.1007%2fs11240-004-3308-2&partnerID=40&md5=b04f4748f49d9d47056d745a3b1f125e,Curcuma zedoaria; Micropropagation; Multiple shoots; Plantlets; Rhizome; Zingiberaceae,Article,Final,Scopus,2-s2.0-14644427242
"You J., Li Q.-P., Yu Y.-W., Cui F.-D.",57198540793;26661117900;7406252026;12770952600;,Pharmacokinetic studies of zedoary oil by HPLC,2005,Chinese Pharmaceutical Journal,40,5,,380,382,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-18844394238&partnerID=40&md5=8dd0781a025467b32dbbff0dc04119ea,Germacrone; HPLC; Pharmacokinetics; Zedoary oil,Article,Final,Scopus,2-s2.0-18844394238
"You J., Cui F.-D., Li Q.-P., Han X., Yu Y.-W., Yang M.-S.",57198540793;12770952600;26661117900;55450970300;7406252026;7404926058;,A novel formulation design about water-insoluble oily drug: Preparation of zedoary turmeric oil microspheres with self-emulsifying ability and evaluation in rabbits,2005,International Journal of Pharmaceutics,288,2,,315,323,,42,10.1016/j.ijpharm.2004.10.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-11144249850&doi=10.1016%2fj.ijpharm.2004.10.005&partnerID=40&md5=c3f477e31ec0aab811522933e1929d63,Bioavailability; Germacrone; Microspheres; Self-emulsifying; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-11144249850
"Garg S.N., Naquvi A.A., Bansal R.P., Bahl J.R., Kumar S.",35514412100;9232827300;7202185008;7005132872;57202529188;,Chemical composition of the essential oil from the leaves of curcuma zedoaria rosc. of indian origin,2005,Journal of Essential Oil Research,17,1,,29,31,,17,10.1080/10412905.2005.9698821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-27744461321&doi=10.1080%2f10412905.2005.9698821&partnerID=40&md5=9cfb0630b96e368d8e8b5b78439098bc,Curcuma zedoaria; Essential oil composition; Zingiberaceae,Article,Final,Scopus,2-s2.0-27744461321
"Bharalee R., Das A., Kalita M.C.",8288656700;57214490786;6701685310;,In vitro clonal propagation of Curcuma caesia roxb and Curcuma zedoaria rosc from rhizome bud explants,2005,Journal of Plant Biochemistry and Biotechnology,14,1,,61,63,,30,10.1007/BF03263228,https://www.scopus.com/inward/record.uri?eid=2-s2.0-16344367799&doi=10.1007%2fBF03263228&partnerID=40&md5=8735f4a7a17c4fd97c6f3767f821d3bf,Clonal propagation; Curcuma caesia; Curcuma zedoaria; Rhizome bud,Article,Final,Scopus,2-s2.0-16344367799
"Park S.-D., Jung J.-H., Lee H.-W., Kwon Y.-M., Chung K.-H., Kim M.-G., Kim C.-H.",8275179800;36869573000;57153276400;8275179400;9334130000;7102053493;7409877266;,Zedoariae rhizoma and curcumin inhibits platelet-derived growth factor-induced proliferation of human hepatic myofibroblasts,2005,International Immunopharmacology,5,3,,555,569,,33,10.1016/j.intimp.2004.11.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-15944429716&doi=10.1016%2fj.intimp.2004.11.003&partnerID=40&md5=34f7f9ef25bcbc868f9e22d4680778b8,Cell signal transduction; Cellular proliferation; Curcumin; Hepatic myofibroblasts (hMF); Liver fibrogenesis; Liver fibrosis; Zedoariae rhizoma,Article,Final,Scopus,2-s2.0-15944429716
"Matsuda H., Tewtrakul S., Morikawa T., Nakamura A., Yoshikawa M.",35475236100;6507898316;7201878299;7402790003;7402554305;,Anti-allergic principles from Thai zedoary: Structural requirements of curcuminoids for inhibition of degranulation and effect on the release of TNF-α and IL-4 in RBL-2H3 cells,2004,Bioorganic and Medicinal Chemistry,12,22,,5891,5898,,120,10.1016/j.bmc.2004.08.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-6344258108&doi=10.1016%2fj.bmc.2004.08.027&partnerID=40&md5=5abc3bd1e69d82e9b5a91aeefd5320be,,Article,Final,Scopus,2-s2.0-6344258108
"You J., Li Q.-P., Yu Y.-W., Cui F.-D.",57198540793;26661117900;7406252026;12770952600;,Absorption of zedoary oil in rat intestine using in situ single pass perfusion model,2004,Yaoxue Xuebao,39,10,0513-4870(2004)10-0849-05,849,853,,14,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-12344295894&partnerID=40&md5=f07698bf86fa7226421308ac5ca079ae,Absorption; HPLC; in situ single pass perfusion model; Zedoary oil,Article,Final,Scopus,2-s2.0-12344295894
"Lai E.Y.C., Chyau C.-C., Mau J.-L., Chen C.-C., Lai Y.-J., Shih C.-F., Lin L.-L.",7201466547;6603775292;7005205829;26662239600;7401511187;7402427846;7404130752;,Antimicrobial activity and cytotoxicity of the essential oil of Curcuma zedoaria,2004,American Journal of Chinese Medicine,32,2,,281,290,,67,10.1142/S0192415X0400193X,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543016205&doi=10.1142%2fS0192415X0400193X&partnerID=40&md5=40e0116b34044064707c1eb95d438b2d,Antimicrobial activity; Curcuma zedoaria; Cytotoxicity; Essential oil; Vibrio parahaemolyticus,Article,Final,Scopus,2-s2.0-3543016205
"Zhang X.-N., Zhang Y., Ji H.-H., Duan M.-X.",55715509200;7601309582;7201738245;35872706300;,Study on the preparation of zedoary nano-liposomes by micro-jet method,2004,Chinese Pharmaceutical Journal,39,5,,356,358,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3543147105&partnerID=40&md5=85090cc12915c268248246c145a498bf,Liposome; Micro-jet; Zedoary; Zeta potential,Article,Final,Scopus,2-s2.0-3543147105
"Wu J., Lu X., Tang W., Kong H., Zhou S., Xu G.",35168314200;55778140669;57199988101;7201353005;57198488363;7404264029;,Analytical characteristics of zedoary volatile oil by comprehensive two-dimensional gas chromatography/time-of-flight mass spectrometry,2004,Fenxi Huaxue,32,5,,582,586,,9,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042706743&partnerID=40&md5=8affe789d04925bf4e6d65526a96156e,Comprehensive two-dimensional gas chromatography; Time-of-flight mass spectrometry; Volatile oil; Zedoary,Article,Final,Scopus,2-s2.0-3042706743
"Leonel M., Sarmento S.B.S., Cereda M.P.",55884969200;8332740600;6603822396;,New starches for the food industry: Curcuma longa and Curcuma zedoaria,2003,Carbohydrate Polymers,54,3,,385,388,,45,10.1016/S0144-8617(03)00179-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0141996408&doi=10.1016%2fS0144-8617%2803%2900179-6&partnerID=40&md5=0422b2126f3b0d861e5d6b33f40410a5,Microscopy; Starch; Viscosity,Article,Final,Scopus,2-s2.0-0141996408
"Maciel N., Criley R.A.",34881950800;6506108657;,"Morphology, growth and flowering behavior of curcuma zedoaria",2003,Acta Horticulturae,624,,,111,116,,11,10.17660/ActaHortic.2003.624.14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33344478904&doi=10.17660%2fActaHortic.2003.624.14&partnerID=40&md5=b86d398ae5acbfaaae448b39f6840b13,Curcuma; Dormancy; Flower seasonality; Tropical flowers; Zedoary; Zingiberales,Conference Paper,Final,Scopus,2-s2.0-33344478904
"Singh G., Singh O.P., Prasad Y.R., Lampasona M.P., Catalan C.",57216817858;57197610080;57198383044;6505658281;7004158630;,Chemical and biocidal investigations on rhizome volatile oil of Curcuma zedoaria Rosc - Part 32,2003,Indian Journal of Chemical Technology,10,5,,462,465,,7,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1442313327&partnerID=40&md5=16612dc9ece9e4377f210f9d37573198,,Article,Final,Scopus,2-s2.0-1442313327
"Mau J.-L., Lai E.Y.C., Wang N.-P., Chen C.-C., Chang C.-H., Chyau C.-C.",7005205829;7201466547;57220879629;26662239600;7407037710;6603775292;,Composition and antioxidant activity of the essential oil from Curcuma zedoaria,2003,Food Chemistry,82,4,,583,591,,156,10.1016/S0308-8146(03)00014-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037490792&doi=10.1016%2fS0308-8146%2803%2900014-1&partnerID=40&md5=ee927b6843a177bbdd1ff36d273a26a6,Antioxidant activity; Chelating effect; Curcuma zedoaria; Essential oil; Reducing power; Scavenging effect,Article,Final,Scopus,2-s2.0-0037490792
"Xi Z.-T., Shan C.-M., Jiang X.-L., Luan X.-Y., Li K.-K.",7102308853;57202657730;56142363600;57197224504;57199453711;,Experimental study on rhizoma' sparganii and radices zedoariae treating hepatic fibrosis,2002,Zhongguo Zhongyao Zazhi,27,12,,931,932,,6,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0142090545&partnerID=40&md5=c4b167b84e6e9a5888f08b1ef8af1372,Hepatic fibrosis; Radices Zedoariae; Rhizoma Sparganii,Article,Final,Scopus,2-s2.0-0142090545
"Chae H.H., Min S.N., Woo Y.L., Sang K.L.",46361011300;7202852779;46361945800;7004470018;,Inhibitory effects of natural sesquiterpenoids isolated from the rhizomes of Curcuma zedoaria on prostaglandin E2 and nitric oxide production,2002,Planta Medica,68,6,,545,547,,34,10.1055/s-2002-32560,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036067723&doi=10.1055%2fs-2002-32560&partnerID=40&md5=e4b62cc3edf18cfadfef49ba28e90f30,,Article,Final,Scopus,2-s2.0-0036067723
"Morikawa T., Matsuda H., Ninomiya K., Yoshikawa M.",7201878299;35475236100;7103321925;7402554305;,Medicinal foodstuffs. XXIX. Potent protective effects of sesquiterpenes and curcumin from Zedoariae Rhizoma on liver injury induced by D-galactosamine/ lipopolysaccharide or tumor necrosis factor-α,2002,Biological and Pharmaceutical Bulletin,25,5,,627,631,,107,10.1248/bpb.25.627,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036583502&doi=10.1248%2fbpb.25.627&partnerID=40&md5=e9765458a6eafc84beac81c7f630a2ac,Action mechanism; Hepatoprotective activity; Medicinal foodstuff; Sesquiterpene; Zedoariae rhizoma; Zingiberaceae,Article,Final,Scopus,2-s2.0-0036583502
"De Fátima Navarro D., De Souza M.M., Neto R.A., Golin V., Niero R., Yunes R.A., Delle Monache F., Cechinel Filho V.",15827554100;7202375931;7003804503;15827947300;6701841429;7006196527;7005560055;7005563683;,Phytochemical analysis and analgesic properties of Curcuma zedoaria grown in Brazil,2002,Phytomedicine,9,5,,427,432,,55,10.1078/09447110260571670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036634760&doi=10.1078%2f09447110260571670&partnerID=40&md5=5c50a48cd98f827f881c0e6cc88fcdb3,Analgesia; Curcuma zedoaria; Curcumenol; Medicinal plant,Article,Final,Scopus,2-s2.0-0036634760
"Matsuda H., Morikawa T., Toguchida I., Ninomiya K., Yoshikawa M.",35475236100;7201878299;6603553983;7103321925;7402554305;,"Medicinal foodstuffs. XXVIII.1). Inhibitors of nitric oxide production and new sesquiterpenes, zedoarofuran, 4-epicurcumenol, neocurcumenol, gajutsulactones A and B, and zedoarolides A and B, from Zedoariae Rhizoma",2001,Chemical and Pharmaceutical Bulletin,49,12,,1558,1566,,95,10.1248/cpb.49.1558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035212223&doi=10.1248%2fcpb.49.1558&partnerID=40&md5=0cab8be7bae2926ed0bd7a4102ee185b,4- epicurcumenol; Gajutsulactone; Neocurcumenol; Zedoariae Rhizoma; Zedoarofuran; Zedoarolide,Article,Final,Scopus,2-s2.0-0035212223
"Xu X.-B., Qin X.-M., Xu J.-D., Pang J.-J.",57206641865;7202154243;8438044300;24071293500;,Effect of Curcuma zedoaria (Berg.) Bosc on the myoelectric activity of uterus in rats and study of its mechanisms,2001,Zhongguo Zhongyao Zazhi,26,5,,336,337,,3,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-23444432655&partnerID=40&md5=2f46e21a4027c95481fe9890b97dabe1,Agonist; Curcuma zedoaria; Uterine myoelectricity,Article,Final,Scopus,2-s2.0-23444432655
"Kim K.I., Shin K.S., Jun W.J., Hong B.S., Shin D.H., Cho H.Y., Chang H.I., Yoo S.M., Yang H.C.",57207404416;13310267000;7004529979;7202125880;36067244800;7403936836;7407524262;8050390300;7406556453;,Effects of polysaccharides from rhizomes of Curcuma zedoaria on macrophage functions,2001,"Bioscience, Biotechnology and Biochemistry",65,11,,2369,2377,,29,10.1271/bbb.65.2369,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035523866&doi=10.1271%2fbbb.65.2369&partnerID=40&md5=06badbd3d4b85fd8124a0e93c76e13c6,Curcuma zedoaria; Macrophages; Phagocytosis; Reactive oxygen species; TNF-α,Article,Final,Scopus,2-s2.0-0035523866
"Matsuda H., Morikawa T., Ninomiya K., Yoshikawa M.",35475236100;7201878299;7103321925;7402554305;,Absolute stereostructure of carabrane-type sesquiterpene and vasorelaxant-active sesquiterpenes from Zedoariae Rhizoma,2001,Tetrahedron,57,40,,8443,8453,,60,10.1016/S0040-4020(01)00828-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035478466&doi=10.1016%2fS0040-4020%2801%2900828-6&partnerID=40&md5=f40f8b9c8120fe73415fc1ca7e61e361,Cyclopropanes; Pharmacologically active compounds; Stereochemistry; Terpenes and terpenoids,Article,Final,Scopus,2-s2.0-0035478466
"Mi Kyung Jang, Dong Hwan Sohn, Ryu J.-H.",55666927300;16149690200;7401868606;,A curcuminoid and sesquiterpenes as inhibitors of macrophage TNF-α release from Curcuma zedoaria,2001,Planta Medica,67,6,,550,552,,78,10.1055/s-2001-16482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034876804&doi=10.1055%2fs-2001-16482&partnerID=40&md5=694977b54506e3d90298dd937de4a4de,,Article,Final,Scopus,2-s2.0-0034876804
"Matsuda H., Morikawa T., Toguchida I., Ninomiya K., Yoshikawa M.",35475236100;7201878299;6603553983;7103321925;7402554305;,"Inhibitors of nitric oxide production and new sesquiterpenes, 4-epi-curcumenol, neocurcumenol, gajutsulactones A and B, and zedoarolides A and B from zedoariae rhizoma",2001,Heterocycles,55,5,,841,846,,29,10.3987/com-01-9178,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035337349&doi=10.3987%2fcom-01-9178&partnerID=40&md5=499a3ba179eaade58b9f013d6f6c6ba1,,Article,Final,Scopus,2-s2.0-0035337349
"Matsuda H., Morikawa T., Ninomiya K., Yoshikawa M.",35475236100;7201878299;7103321925;7402554305;,"Hepatoprotective constituents from Zedoariae Rhizoma: Absolute stereostructures of three new carabrane-type sesquiterpenes, curcumenolactones A, B, and C",2001,Bioorganic and Medicinal Chemistry,9,4,,909,916,,98,10.1016/S0968-0896(00)00306-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035041503&doi=10.1016%2fS0968-0896%2800%2900306-0&partnerID=40&md5=3569df98087d960123734dff31724182,,Article,Final,Scopus,2-s2.0-0035041503
"De Mello M.O., De Campos Amaral A.F., Melo M.",7005001390;6504445617;57212728318;,"Sucrose metabolizing enzymes in cell suspension cultures of Bauhinia forficata, Curcuma zedoaria and Phaseolus vulgaris",2001,Pesquisa Agropecuaria Brasileira,36,9,,1085,1092,,5,10.1590/s0100-204x2001000900001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347746507&doi=10.1590%2fs0100-204x2001000900001&partnerID=40&md5=75e9b77ad53f73bc8ee8525f8ac2e5e5,Fructokinase; Glycolysis; Tissue culture,Article,Final,Scopus,2-s2.0-0347746507
"Hong C.H., Kim Y., Lee S.K.",7403579477;7410205129;36067620500;,Sesquiterpenoids from the Rhizome of Curcuma zedoaria,2001,Archives of Pharmacal Research,24,5,,424,426,,27,10.1007/BF02975188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035489368&doi=10.1007%2fBF02975188&partnerID=40&md5=fbfbd56b3d7ab5e3b05bebeda2df0579,"Ar-turmerone; Curcuma zedoaria; Zingiberaceae, sesquiterpenoids; β-turmerone",Article,Final,Scopus,2-s2.0-0035489368
